  8 | 18 | 99 | 64 | 91 | 55 | 53 | 20 | 11 | 20 |  1 | 79 |  2 | 30 |  7 | 99 | 14 | 24 | 90 | 15 | 96 | 55 | 58 | 30 | 88 | 63 | 47 | 71 | 39 |  9 | 82 | 75 |  2 | 67 | 98 | 70 |  5 | 78 | 34 | 17 | 77 | 74 | 97 |  7 | 97 | 69 | 67 |  6 | 34 | 66 | 68 | 48 | 57 | 70 | 93 | 79 | 62 | 38 |  0 | 90 | 50 | 13 | 48 | 32 | 52 | 30 | 36 | 53 | 46 | 39 | 62 | 82 | 82 | 74 | 94 | 92 | 28 | 65 | 41 | 51 | 36 | 22 | 27 | 26 | 79 |  6 | 12 | 43 | 88 | 74 | 97 | 20 | 55 |  9 | 97 | 31 |  8 | 19 | 15 | 84
 32 | 91 |  4 | 36 | 46 | 46 | 96 | 67 | 87 | 97 | 60 | 84 | 10 |  6 | 97 | 57 | 51 |  9 | 22 | 83 | 52 | 18 | 69 | 16 | 38 | 87 | 33 | 34 | 13 | 54 | 26 | 11 | 54 |  9 | 26 | 79 |  5 | 53 |  1 | 29 | 19 | 50 | 83 | 52 | 18 | 36 | 70 | 74 | 73 | 13 | 89 | 86 | 92 | 32 | 37 | 86 | 44 |  2 | 64 | 84 | 85 | 33 | 25 | 40 | 91 |  3 | 50 | 66 | 25 | 39 | 21 |  6 | 64 | 10 | 77 | 46 | 41 | 67 | 48 | 81 | 30 | 10 | 54 | 96 | 89 | 14 | 85 | 21 | 69 | 23 | 44 | 14 | 34 | 30 | 51 | 37 | 31 | 50 | 19 | 99
 51 | 14 | 15 | 36 | 10 | 77 | 24 | 78 | 55 | 46 | 12 | 14 | 80 | 54 | 68 | 74 | 71 | 35 | 65 | 35 | 91 | 19 | 39 | 91 |  5 | 16 | 51 | 56 | 29 | 58 |  5 | 43 | 77 | 50 | 58 | 79 | 84 | 12 | 49 | 82 | 35 |  3 | 18 | 35 | 70 | 79 | 54 | 80 | 45 |  2 | 24 | 44 | 13 | 60 | 25 | 72 | 33 |  3 | 47 | 98 | 88 | 53 | 30 | 75 | 39 | 13 | 31 | 54 | 60 |  4 | 81 | 38 | 79 | 51 | 23 | 48 | 82 | 56 | 93 | 75 | 55 | 50 | 56 | 58 | 40 | 50 |  2 | 96 | 41 | 15 | 16 | 80 | 60 | 89 | 15 | 52 | 33 |  9 | 39 | 95
 97 | 60 | 29 | 24 | 58 | 24 | 28 | 40 | 96 | 57 | 40 | 57 | 65 | 53 | 84 |  7 | 74 | 79 | 40 | 99 | 47 | 84 |  1 | 48 | 75 | 87 | 57 |  1 | 69 | 67 | 46 | 40 | 97 | 25 | 91 | 90 | 98 | 33 | 48 | 46 | 84 | 63 | 60 | 16 | 67 | 70 | 57 | 89 | 39 |  9 | 48 | 47 |  5 | 74 | 41 |  1 |  0 | 92 | 27 | 45 | 29 | 39 | 44 | 37 | 92 | 25 | 84 | 59 | 75 | 53 | 14 | 42 | 26 | 82 | 86 | 16 | 12 |  1 | 82 | 36 | 27 | 70 | 65 |  2 | 71 | 20 | 36 | 45 | 15 | 62 | 95 | 43 | 71 | 26 | 42 | 80 | 55 | 32 | 99 | 54
 43 | 26 | 90 | 58 | 52 |  2 | 12 |  4 | 68 | 86 | 74 | 19 | 75 |  0 | 80 |  9 | 86 |  5 | 26 | 72 | 17 | 82 | 81 | 59 | 45 | 30 | 81 | 71 | 33 | 59 | 85 | 46 | 87 | 98 | 21 | 25 |  9 | 61 |  2 | 37 |  4 | 11 | 36 | 68 | 59 | 94 | 76 |  9 | 98 | 54 |  6 | 63 | 52 | 95 | 27 | 59 | 40 | 32 | 78 |  3 | 13 | 80 | 51 | 32 | 99 | 77 |  6 | 32 | 54 | 49 | 28 | 42 | 95 | 51 | 62 | 16 | 19 | 86 | 97 | 80 | 94 | 53 | 51 | 19 | 65 | 66 | 99 | 28 | 52 | 95 | 85 | 70 |  3 | 65 | 99 | 34 | 79 | 16 | 91 | 27
 69 | 29 | 31 | 98 | 57 | 38 | 63 | 75 | 10 | 54 | 43 | 93 | 64 | 97 | 85 | 10 | 85 | 72 | 13 | 15 | 80 | 89 | 85 |  1 | 42 | 57 | 81 | 23 | 58 | 18 | 95 | 26 |  4 | 90 | 12 | 42 |  3 | 44 | 21 | 33 | 67 | 49 | 87 |  9 | 97 | 60 | 57 | 59 | 26 |  6 | 81 |  0 | 47 | 45 |  4 | 21 | 42 | 56 | 77 | 73 | 54 | 76 | 53 | 58 | 42 | 18 | 39 | 99 | 25 |  1 | 66 | 74 | 13 | 54 | 19 | 84 | 84 | 90 | 57 | 42 | 14 | 19 | 87 | 95 | 42 | 28 | 52 | 38 | 40 | 45 |  5 | 34 | 46 | 25 | 90 | 28 | 95 | 95 | 88 | 41
  5 | 37 | 81 | 29 | 76 | 59 | 15 | 11 | 66 | 30 | 44 | 18 | 50 | 82 | 88 | 54 | 94 | 45 | 90 | 48 | 90 | 26 | 47 | 33 | 76 | 29 | 16 | 11 | 18 | 23 |  3 | 69 | 42 | 42 | 26 | 46 | 38 | 71 | 31 | 83 | 92 | 67 |  8 | 81 | 78 | 67 | 38 | 24 | 65 | 69 | 18 | 74 | 72 | 90 | 10 |  1 | 73 | 88 | 47 | 68 | 50 | 74 | 84 | 18 | 14 | 59 | 95 | 86 |  9 | 40 | 17 | 81 | 12 | 98 | 56 | 42 | 99 | 64 | 38 | 11 | 69 | 90 | 91 | 23 | 27 | 11 |  3 | 20 | 10 | 71 | 55 | 83 | 82 | 65 |  2 | 91 | 58 | 96 | 91 | 49
 26 | 17 | 69 | 83 | 87 | 29 | 16 | 28 | 94 | 13 |  9 | 78 | 19 | 93 | 62 | 74 | 17 | 62 | 46 |  3 | 73 | 74 | 37 | 35 | 52 | 51 | 30 | 11 | 81 | 66 | 30 | 19 | 75 | 33 | 87 |  8 | 30 | 93 | 77 | 16 | 83 | 71 | 95 | 57 | 96 | 62 | 42 | 83 | 13 | 59 | 98 | 90 | 66 |  7 | 10 | 86 | 55 | 59 | 11 |  9 | 86 | 52 | 69 | 37 | 37 |  5 | 79 | 77 | 69 |  0 | 41 | 82 |  1 | 91 | 84 |  3 | 43 |  2 | 96 | 24 |  3 | 27 | 15 | 76 | 38 | 95 | 36 | 96 | 92 | 25 | 42 | 27 | 37 | 99 | 57 | 97 | 65 | 65 | 70 | 98
 36 |  4 | 16 | 80 |  4 | 40 | 60 | 53 | 88 | 99 | 54 | 45 | 29 | 94 | 31 | 62 | 33 | 20 | 67 | 66 | 33 | 78 | 87 | 50 | 37 | 25 | 16 | 71 | 83 | 15 | 53 | 83 | 81 | 99 | 16 | 50 | 99 | 33 | 78 | 28 | 86 | 87 | 54 | 53 | 48 |  7 | 62 | 29 | 67 | 73 | 17 |  4 |  9 | 35 | 17 | 63 | 36 | 59 | 42 | 54 |  2 | 10 | 52 | 81 |  9 | 45 |  3 | 41 | 97 | 93 | 61 | 50 | 91 | 61 |  5 | 24 | 17 | 79 | 40 | 40 | 27 | 38 | 56 | 15 | 29 | 23 | 65 | 35 | 65 | 13 | 30 | 39 | 77 | 61 | 19 | 49 | 49 |  6 | 39 | 70
 91 | 39 | 29 | 84 | 49 | 95 | 80 | 40 |  4 | 50 | 66 | 64 |  1 |  2 | 37 | 20 | 25 | 30 | 22 | 22 | 91 | 65 | 34 | 10 | 72 | 62 | 50 | 32 | 34 | 24 | 75 | 94 | 65 | 97 | 43 | 10 | 22 | 97 | 30 | 45 | 23 | 86 | 93 | 26 | 26 | 91 | 38 | 92 | 14 | 80 | 43 | 99 |  3 | 73 | 38 | 69 | 66 | 53 | 31 | 79 | 24 | 19 | 60 | 20 | 20 | 38 | 87 | 16 | 26 | 89 | 25 | 35 | 94 | 92 | 30 | 84 | 66 | 21 | 34 | 28 | 94 | 30 | 86 | 22 | 17 | 22 | 61 | 80 | 69 | 93 |  4 | 84 | 38 |  3 | 72 | 30 | 28 | 37 | 61 | 17
